x;y;a;z;index
3.003;-13.697;5.171;14.946;
0.168;-6.591;3.811;7.616;
1.126;-8.774;4.463;9.909;
4.267;-10.900;0.115;11.706;
3.616;-7.663;0.479;8.487;
4.899;-9.445;-1.072;10.694;
10.856;-5.039;4.003;12.620;
8.960;-2.741;2.969;9.829;
8.251;-0.653;2.969;8.793;
8.769;-0.137;3.294;9.368;
9.286;-0.538;2.279;9.576;
9.592;-0.691;2.528;9.943;
8.692;0.017;3.064;9.216;
9.037;-0.232;2.854;9.479;
10.454;-4.618;4.214;12.181;
3.252;-5.863;0.957;6.773;
10.780;-6.399;2.202;12.728;
10.588;-5.097;3.984;12.408;
5.761;-5.327;1.283;7.951;
7.351;-2.358;1.398;7.845;
12.101;-2.511;-1.340;12.431;
6.949;-3.105;0.479;7.626;
13.366;-1.266;-0.077;13.426;
6.815;-3.986;2.777;8.369;
11.986;-2.473;6.627;13.917;
12.599;-4.216;0.402;13.292;
7.562;3.062;0.632;8.182;
12.408;-5.173;10.956;17.342;
2.639;1.913;-1.876;3.760;
15.032;-8.295;-0.670;17.182;
9.803;-3.028;-3.907;10.978;
6.068;1.568;0.670;6.303;
14.611;0.285;-1.762;14.719;
3.769;-2.626;-0.555;4.627;
11.374;-7.070;-0.019;13.392;
6.298;-3.775;-0.593;7.366;
7.581;-3.085;-1.896;8.401;
16.315;-4.924;10.056;19.787;
6.202;-4.963;-3.485;8.674;
11.010;-4.943;-0.154;12.069;
8.041;-4.714;2.317;9.605;
11.201;-2.396;1.532;11.556;
13.806;0.304;0.459;13.817;
6.470;-2.070;0.383;6.804;
15.951;-1.228;1.609;16.079;
6.374;-6.821;2.375;9.633;
7.830;-6.188;-9.213;13.582;
3.559;-2.894;-7.010;8.377;
-1.037;-3.603;-2.509;4.512;
1.164;-11.092;-4.271;11.943;
-0.788;-3.009;0.210;3.118;
-1.497;-9.042;11.301;14.551;
0.609;-6.763;8.868;11.170;
3.482;-7.855;4.214;9.570;
9.918;-7.932;4.329;13.417;
5.666;-3.430;1.417;6.773;
14.304;-7.702;5.190;17.055;
3.559;-1.994;3.007;5.068;
8.711;-7.070;4.980;12.275;
11.469;-3.584;0.632;12.032;
5.378;-2.779;1.436;6.221;
17.541;-5.671;3.064;18.688;
3.022;-4.216;2.222;5.643;
9.803;-8.430;1.992;13.082;
7.389;-3.698;1.417;8.383;
7.983;-4.005;0.823;8.969;
16.277;-3.220;1.072;16.627;
3.233;-3.775;0.115;4.972;
12.753;-6.361;0.440;14.258;
8.845;2.238;-0.421;9.133;
6.987;-3.488;1.532;7.958;
10.454;-9.617;4.329;14.850;
2.141;-8.104;1.704;8.554;
4.708;-3.737;-13.752;15.008;
4.823;-7.740;-4.367;10.111;
5.742;-9.675;-1.436;11.342;
-0.463;-4.867;7.240;8.737;
4.842;-10.153;6.608;13.046;
1.222;-5.825;1.628;6.171;
5.685;-11.609;6.455;14.449;
3.712;-5.480;1.743;6.845;
3.559;-8.257;0.957;9.042;
5.666;-9.962;-0.134;11.462;
3.654;-7.434;-0.804;8.323;
9.209;-9.809;1.570;13.546;
7.140;-7.050;2.777;10.411;
5.378;-7.395;1.111;9.211;
10.033;-9.387;2.356;13.940;
5.225;-6.112;0.364;8.049;
6.777;-8.104;2.011;10.754;
10.358;-4.771;1.226;11.470;
2.850;-4.637;1.666;5.692;
10.895;-10.900;3.984;15.918;
5.033;-4.580;1.724;7.020;
7.102;-6.418;1.953;9.770;
10.722;-4.445;3.620;12.158;
2.448;-6.361;1.226;6.925;
8.424;-8.793;3.524;12.677;
5.244;-5.997;0.766;8.003;
7.006;-6.552;0.632;9.613;
8.328;-9.521;2.509;12.896;
4.497;-9.770;5.842;12.240;
0.035;-3.430;3.409;4.837;
3.329;-11.628;3.965;12.729;
3.961;-5.576;3.926;7.887;
10.761;-9.426;3.754;14.790;
16.909;3.234;-0.517;17.223;
10.224;0.495;-2.164;10.462;
8.826;-5.327;1.302;10.391;
13.940;-0.194;3.984;14.499;
6.278;-0.346;-0.555;6.312;
8.213;-0.787;-1.762;8.436;
13.366;3.024;-0.919;13.734;
9.592;0.744;-1.685;9.767;
10.263;0.917;-1.302;10.385;
12.753;3.407;0.076;13.200;
6.719;-4.541;1.953;8.341;
3.003;0.668;6.799;7.463;
10.320;2.162;2.777;10.903;
4.746;-2.070;2.068;5.575;
7.064;-5.556;4.118;9.886;
2.524;-4.139;4.329;6.500;
4.555;-4.675;4.578;7.973;
8.271;-4.484;-0.497;9.421;
7.543;-4.484;-2.700;9.181;
5.531;-6.533;-0.976;8.615;
9.171;-4.656;-0.670;10.307;
7.887;-6.265;-2.547;10.389;
7.964;-6.552;-2.528;10.618;
7.504;-6.476;-0.325;9.917;
6.872;-6.572;-0.173;9.510;
6.738;-6.112;2.164;9.351;
5.780;-10.153;1.379;11.764;
7.600;-10.039;1.206;12.649;
4.861;-6.878;-3.256;9.030;
12.044;-11.284;0.804;16.524;
11.239;-2.377;5.497;12.735;
7.217;-7.625;4.616;11.469;
6.527;-4.943;1.015;8.250;
4.459;-8.276;-1.589;9.534;
6.796;-8.487;-1.129;10.931;
4.995;-8.487;1.685;9.991;
5.857;-8.181;2.969;10.491;
6.087;-7.338;-3.581;10.184;
6.202;-0.251;-8.906;10.855;
10.588;-8.889;-10.017;17.072;
-2.206;2.947;9.481;10.171;
11.469;-14.233;11.071;21.370;
6.757;-10.402;7.795;14.650;
8.041;-1.860;7.297;11.016;
3.942;1.836;8.083;9.178;
8.175;-1.687;6.761;10.742;
8.883;-0.003;3.945;9.719;
3.137;-3.507;8.657;9.853;
11.144;7.199;13.274;18.767;
6.489;-9.694;1.934;11.825;
10.512;-4.196;3.754;11.925;
9.056;-2.779;2.662;9.840;
10.646;-7.568;1.187;13.116;
9.132;-0.959;2.911;9.632;
7.715;-3.258;1.417;8.494;
8.041;3.905;-4.405;9.965;
