x;y;z;a;index
8.270;-2.962;-0.973;8.838;8.508
8.311;-2.641;-1.213;8.804;7.912
8.354;-2.737;-1.603;8.936;7.612
8.392;-2.921;-1.656;9.039;5.952
8.541;-2.974;-1.490;9.165;4.801
8.943;-3.048;-1.256;9.531;3.511
9.620;-3.077;-1.227;10.175;3.115
9.862;-3.182;-1.012;10.412;2.457
10.126;-3.611;-0.767;10.777;2.363
10.978;-5.330;-2.443;12.445;3.422
11.105;-6.187;-3.480;13.180;3.637
11.131;-6.563;-3.861;13.486;3.503
9.570;-6.505;-2.680;11.878;3.899
8.725;-5.684;-1.699;10.551;4.095
9.235;-4.118;-0.490;10.123;4.574
8.787;-3.160;-2.173;9.588;4.981
8.921;-3.709;-2.793;10.057;5.048
9.580;-3.754;-3.985;11.034;5.226
9.048;-3.067;-4.498;10.560;5.313
7.698;-3.165;-4.122;9.288;5.477
7.193;-3.678;-4.268;9.136;5.511
7.746;-4.061;-5.029;10.088;5.589
7.980;-4.389;-5.482;10.630;5.619
7.815;-4.923;-5.692;10.849;5.646
7.300;-5.172;-5.793;10.658;5.656
7.149;-4.992;-5.690;10.412;5.621
7.157;-4.528;-5.484;10.089;5.633
6.735;-4.135;-5.257;9.492;5.640
6.639;-3.929;-4.924;9.152;5.048
6.735;-3.989;-4.857;9.212;4.865
7.080;-4.018;-4.742;9.421;4.849
8.033;-4.056;-4.730;10.166;4.538
7.791;-3.613;-4.055;9.497;4.353
9.541;-3.455;-3.267;10.661;4.299
9.572;-3.098;-1.057;10.117;4.421
8.078;-5.277;-2.953;10.091;5.424
6.481;-5.643;-3.087;9.132;5.501
9.170;-3.409;-0.181;9.785;7.065
7.746;-3.354;-1.962;8.666;7.290
9.783;-5.706;-3.980;12.004;8.146
7.149;-3.192;-4.098;8.837;8.866
8.169;-4.470;-6.822;11.544;9.398
7.482;-3.239;-5.077;9.605;9.644
7.662;-3.247;-5.678;10.074;9.647
8.198;-3.065;-5.427;10.298;9.663
7.918;-2.964;-5.309;9.983;9.655
