x,y;z;a;
7.522;-6.117;7.735;12.403
2.121;9.474;5.561;11.188
-3.012;5.241;10.531;12.143
4.218;8.047;7.390;11.712
-1.547;-0.036;5.934;6.133
3.596;8.986;5.810;11.288
13.604;7.721;6.135;16.803
7.264;1.803;4.622;8.797
8.337;1.142;5.321;9.956
5.396;4.868;5.111;8.884
4.228;8.076;-1.641;9.262
3.902;14.521;8.510;17.278
3.606;1.037;-2.694;4.619
-3.702;14.483;-8.393;17.143
-0.982;11.035;2.563;11.371
-1.413;0.472;0.954;1.769
13.393;2.186;-0.587;13.583
4.755;13.305;-5.414;15.131
7.206;6.113;-2.455;9.763
12.167;-2.449;-3.748;12.965
2.926;-0.256;-8.077;8.594
8.231;8.286;2.228;11.890
25.469;13.046;-19.147;34.431
3.280;-0.400;1.864;3.794
12.885;3.766;-4.313;14.100
9.773;2.445;1.069;10.131
10.501;3.441;3.080;11.471
8.911;2.636;-1.555;9.422
12.962;1.736;-2.646;13.343
7.187;1.420;-0.597;7.350
8.308;8.430;5.733;13.151
4.458;7.041;3.033;8.869
2.543;10.585;1.807;11.035
6.948;4.006;1.069;8.091
10.530;2.655;3.205;11.322
7.360;1.602;6.451;9.917
6.249;2.311;6.155;9.070
7.724;9.905;2.994;12.912
0.407;5.768;4.756;7.487
-0.302;8.047;-2.761;8.513
0.819;8.947;-5.807;10.698
0.618;8.057;-3.614;8.852
-0.398;8.966;-1.469;9.095
-0.618;9.215;-0.549;9.252
-0.465;8.641;-0.836;8.694
-0.465;9.493;-1.928;9.698
-0.484;8.057;-2.426;8.428
-0.541;8.765;-4.389;9.818
-0.886;-0.428;-0.884;1.323
6.574;8.057;-7.425;12.778
4.793;12.529;-6.075;14.726
3.079;8.382;-9.590;13.104
0.713;-3.244;-2.034;3.895
7.695;9.139;-4.571;12.792
4.573;9.292;-10.001;14.397
-0.551;3.479;-5.251;6.323
4.314;8.459;-5.041;10.751
0.110;7.310;-1.583;7.480
3.510;4.360;-3.604;6.657
6.680;10.164;-4.945;13.129
6.546;6.927;-6.094;11.312
8.423;4.619;-4.198;10.483
5.214;5.950;-2.972;8.451
4.065;8.593;-8.345;12.649
-0.618;9.014;0.792;9.070
2.954;1.133;-3.499;4.717
10.060;-0.888;-0.693;10.123
11.315;2.550;3.061;11.996
8.346;3.460;0.409;9.044
5.981;5.797;-4.370;9.406
12.129;10.087;-5.117;16.584
4.324;2.311;0.964;4.996
10.032;5.739;-2.350;11.794
10.300;7.645;-1.679;12.936
27.423;10.413;-1.995;29.401
6.938;6.237;-2.417;9.637
8.040;5.883;2.563;10.287
9.716;-0.831;0.332;9.757
14.475;5.911;-1.631;15.721
9.246;2.023;-1.976;9.669
8.854;2.598;-2.120;9.467
10.032;3.900;0.035;10.763
6.268;8.890;4.115;11.630
7.810;1.286;2.515;8.305
6.603;8.143;5.398;11.792
5.243;5.902;4.278;8.979
5.645;6.208;5.819;10.212
4.180;5.557;2.956;7.556
4.171;7.923;1.472;9.073
4.151;7.990;1.596;9.144
3.701;8.047;2.391;9.175
5.569;4.868;3.071;8.008
5.080;5.404;2.889;7.960
5.138;5.758;3.167;8.342
5.665;9.388;3.100;11.394
2.265;8.181;-2.005;8.722
3.625;7.760;0.954;8.618
4.276;7.932;1.759;9.181
4.391;7.702;1.979;9.084
5.396;7.013;2.324;9.149
26.810;-5.791;-0.022;27.429
11.248;4.906;-2.666;12.557
6.756;0.807;-1.813;7.042
8.940;1.985;0.083;9.158
9.323;5.097;2.286;10.868
9.553;3.929;-1.555;10.446
5.167;1.075;2.353;5.778
8.155;3.805;-5.213;10.399
7.417;1.774;-5.127;9.189
7.379;2.004;-6.650;10.133
8.672;-1.070;-4.686;9.915
5.550;-1.645;-7.885;9.781
8.969;1.094;-5.721;10.694
7.226;0.721;-7.655;10.551
2.025;5.241;-7.100;9.054
3.826;5.011;-7.559;9.843
2.083;1.803;-10.078;10.448
3.031;-1.779;-8.862;9.533
3.816;-1.041;-8.383;9.269
8.193;-2.966;-6.688;10.984
8.183;0.127;-5.280;9.740
5.837;-1.884;-6.171;8.700
5.071;-2.957;-7.895;9.838
10.664;-4.633;-7.818;14.011
4.314;0.395;-5.213;6.778
5.808;2.167;-6.190;8.760
22.548;9.675;-2.895;24.707
5.358;5.500;-1.756;7.876
11.305;5.950;2.621;13.041
16.563;3.307;-1.124;16.927
9.696;2.129;-1.708;10.073
7.475;-1.511;-1.133;7.709
18.181;5.222;-2.484;19.079
9.400;4.963;-1.344;10.714
17.214;-1.166;1.960;17.365
13.192;-1.568;-0.310;13.288
9.629;2.521;-2.828;10.348
8.432;-0.371;-1.765;8.623
12.636;2.330;-0.568;12.862
10.884;3.441;7.093;13.439
13.738;4.456;1.309;14.502
13.537;3.249;-2.733;14.187
9.313;0.328;-0.980;9.371
10.089;1.439;0.916;10.232
13.508;3.805;0.878;14.061
7.331;6.247;4.249;10.527
11.976;2.636;0.820;12.290
10.396;1.324;-1.603;10.601
7.168;0.548;-0.750;7.228
10.731;2.205;1.136;11.014
10.903;3.345;1.701;11.531
8.854;2.914;3.195;9.853
-7.609;16.197;-17.079;24.737
-2.648;5.289;-3.719;6.987
-2.437;9.139;-3.010;9.926
-3.002;8.737;-2.522;9.576
-2.993;8.401;-2.819;9.353
-3.012;8.488;-3.039;9.505
-2.916;8.373;-2.905;9.330
-2.878;8.497;-2.838;9.410
-2.993;8.459;-2.953;9.446
-3.012;8.449;-2.867;9.417
-3.022;8.497;-2.809;9.446
-2.964;8.478;-2.781;9.402
-2.945;8.468;-2.781;9.387
-2.897;8.603;-2.819;9.505
-3.089;8.459;-2.685;9.397
-3.041;8.478;-2.646;9.388
-2.955;8.507;-2.694;9.400
-3.117;8.478;-2.733;9.437
-2.955;8.583;-2.733;9.480
-2.955;8.583;-2.733;9.480
-2.955;8.583;-2.733;9.480
-2.955;8.583;-2.733;9.480
-2.955;8.583;-2.733;9.480
-2.955;8.583;-2.733;9.480
-2.955;8.583;-2.733;9.480
-2.955;8.583;-2.733;9.480
21.572;14.444;0.140;25.961
12.215;5.576;2.506;13.660
9.227;2.387;-3.039;10.004
6.239;2.713;-1.804;7.038
8.030;4.015;0.265;8.982
8.260;2.215;1.232;8.640
10.127;1.602;-3.030;10.691
6.239;1.975;0.265;6.550
9.093;0.089;2.879;9.538
9.687;1.698;0.868;9.873
7.446;3.450;-0.817;8.247
10.127;2.971;-2.560;10.860
9.016;2.311;0.140;9.309
7.101;0.568;4.230;8.285
6.057;5.270;3.282;8.673
7.503;4.896;2.037;9.188
9.687;0.989;1.443;9.844
8.260;1.956;-1.402;8.603
8.586;0.644;4.067;9.522
7.762;1.248;4.699;9.159
7.800;1.525;4.000;8.898
6.986;5.059;3.990;9.504
3.778;6.611;5.886;9.624
3.194;5.691;6.911;9.505
-2.016;6.735;7.017;9.933
0.522;5.394;7.400;9.172
-4.286;23.954;15.377;28.786
1.642;4.015;7.831;8.952
3.194;2.923;8.357;9.412
2.648;2.560;8.654;9.405
2.361;3.757;8.386;9.487
2.514;4.015;8.118;9.399
2.610;3.603;8.300;9.417
2.159;3.623;8.166;9.191
2.198;3.996;8.233;9.412
1.786;2.722;8.348;8.960
2.016;4.092;8.175;9.362
2.428;4.044;8.367;9.605
2.159;3.623;8.376;9.378
1.882;3.421;8.348;9.216
2.198;3.594;8.309;9.316
2.045;3.939;8.309;9.420
1.997;3.785;8.357;9.389
2.112;3.565;8.367;9.337
2.006;3.718;8.367;9.373
1.863;3.891;8.252;9.311
2.198;3.737;8.367;9.424
2.112;3.910;8.453;9.550
1.997;3.939;8.386;9.478
2.121;3.795;8.300;9.370
1.910;3.986;8.281;9.387
1.920;3.852;8.386;9.426
35.305;13.037;-3.872;37.834
9.850;4.724;1.280;10.999
14.073;7.041;3.224;16.063
12.320;0.366;-0.587;12.340
5.655;1.554;-1.306;6.008
12.158;6.534;2.238;13.982
9.811;2.473;5.092;11.327
14.542;1.171;1.136;14.634
9.706;1.564;-1.287;9.915
5.722;1.947;-2.350;6.485
12.723;7.999;-1.085;15.068
6.153;2.473;-0.501;6.650
14.906;1.870;-0.300;15.026
9.237;1.650;-3.729;10.097
7.168;0.711;-1.536;7.365
8.997;4.015;0.964;9.900
6.277;4.101;1.998;7.760
6.354;0.280;2.286;6.758
18.105;5.720;-4.409;19.492
4.985;2.713;-0.109;5.676
