x,y;z;a;
3.625;7.942;5.226;10.174
2.341;7.089;5.178;9.086
2.303;7.358;5.044;9.213
2.313;7.405;5.235;9.359
1.997;7.262;5.159;9.129
2.332;7.128;5.417;9.251
2.207;6.946;5.494;9.127
1.499;7.405;5.408;9.291
1.298;7.233;4.938;8.854
1.901;7.520;6.078;9.854
0.857;7.875;5.484;9.634
3.625;8.325;3.550;9.749
3.433;9.915;-4.169;11.290
-0.618;9.101;-1.143;9.193
1.920;9.493;-0.224;9.688
0.905;8.698;0.236;8.748
0.244;10.240;-2.005;10.437
0.847;9.359;-0.319;9.403
1.661;8.631;0.533;8.806
1.451;9.177;0.236;9.294
1.374;9.148;0.303;9.256
1.393;9.120;0.667;9.250
1.374;9.148;0.658;9.274
1.441;9.101;0.658;9.237
1.259;9.139;0.571;9.243
1.470;1.248;0.351;1.960
7.341;9.014;-1.478;11.719
2.456;16.446;2.793;16.861
-4.094;9.828;1.213;10.716
-2.217;12.136;5.235;13.402
-1.125;15.191;6.155;16.429
3.491;-5.973;8.530;10.983
-0.417;8.727;5.053;10.093
-6.642;10.834;2.420;12.936
-3.711;13.563;1.481;14.140
-2.485;6.084;4.258;7.831
-2.792;6.898;5.379;9.182
-2.390;6.074;5.092;8.278
-2.217;5.356;6.049;8.378
-3.318;7.568;7.007;10.835
-1.384;6.275;8.012;10.271
-1.872;5.969;6.729;9.188
-2.571;4.935;8.137;9.858
-2.591;4.216;7.725;9.174
-2.313;4.829;5.408;7.610
-4.669;6.946;8.740;12.101
-2.715;0.271;5.915;6.514
-2.188;-5.916;9.976;11.803
-2.935;1.286;9.736;10.250
-3.318;2.521;8.932;9.856
-2.926;3.776;8.032;9.345
