x;y;z;a
3.902;9.330;0.629;10.133
3.519;8.823;-1.698;9.649
6.038;10.355;-5.127;13.037
6.440;2.722;1.519;7.155
3.615;8.239;-0.597;9.017
7.005;6.419;0.198;9.504
9.007;3.450;-1.564;9.771
8.835;4.772;-0.520;10.054
7.273;4.398;3.387;9.150
7.273;4.398;3.387;9.150
8.767;3.862;4.373;10.531
7.839;5.318;4.029;10.293
13.221;23.255;3.952;27.041
3.586;6.304;-1.679;7.445
10.348;3.374;-4.983;11.970
-0.120;1.602;-1.651;2.303
7.570;-1.760;-4.150;8.811
6.335;10.077;-0.559;11.916
5.377;6.591;4.708;9.723
3.902;5.825;7.706;10.419
2.207;1.822;2.784;3.993
5.703;6.151;5.542;10.053
5.827;5.126;4.421;8.932
5.138;6.208;5.187;9.584
4.975;6.304;4.986;9.453
5.186;5.720;5.168;9.291
6.277;4.408;5.906;9.681
6.431;4.082;5.561;9.431
6.546;3.805;5.963;9.637
6.325;4.207;6.078;9.729
5.645;5.164;5.992;9.718
5.138;5.710;5.551;9.477
4.755;6.342;5.503;9.650
3.222;7.865;3.578;9.222
0.053;8.650;-2.915;9.128
1.709;8.296;-1.018;8.531
2.265;6.907;1.002;7.338
2.677;9.666;1.519;10.144
-2.983;15.048;-19.348;24.692
1.805;2.349;-6.554;7.192
-3.797;23.456;6.442;24.619
-0.302;14.540;0.198;14.545
4.611;11.466;-1.900;12.504
3.424;6.381;5.523;9.107
1.374;5.433;5.360;7.754
5.004;-10.245;3.703;11.988
12.071;-0.591;7.792;14.380
-0.436;9.771;7.716;12.458
-0.886;13.956;-7.195;15.727
-3.443;8.603;-3.058;9.758
-5.205;8.105;0.265;9.636
0.024;20.526;-3.480;20.819
0.742;3.211;11.355;11.823
3.184;1.027;9.056;9.655
4.391;1.918;9.727;10.843
3.567;-0.333;8.894;9.588
2.073;2.311;9.621;10.110
-0.034;-3.244;7.687;8.343
5.186;-2.985;7.792;9.825
7.024;0.462;7.447;10.248
4.180;-1.070;6.739;8.002
5.473;6.429;6.499;10.655
6.584;6.668;0.868;9.411
7.580;6.984;3.147;10.777
15.117;15.929;-18.094;28.454
6.364;9.330;-3.317;11.771
5.712;2.866;-2.187;6.755
7.848;4.427;3.837;9.794
19.388;-1.578;2.621;19.628
8.346;-0.476;2.918;8.854
5.952;23.427;-3.451;24.417
10.721;3.661;0.610;11.345
7.465;15.584;-3.212;17.576
