x;y;z;a;index
-0.577;1.925;9.930;10.132;2.435
-0.701;1.729;9.918;10.092;2.432
-0.742;1.499;9.930;10.070;2.020
-0.893;1.381;9.873;10.009;1.621
-1.022;1.336;9.782;9.925;1.606
-1.166;1.257;9.681;9.832;1.544
-1.319;1.252;9.629;9.799;1.486
-1.384;1.271;9.597;9.780;1.448
-1.463;1.353;9.578;9.783;1.375
-1.556;1.439;9.497;9.731;1.307
-1.575;1.429;9.523;9.758;1.271
-1.580;1.391;9.490;9.720;1.182
-1.590;1.295;9.617;9.833;0.911
-1.635;1.223;9.629;9.843;0.758
-1.693;1.168;9.653;9.869;0.708
-1.733;1.113;9.727;9.943;0.690
-1.719;1.041;9.746;9.951;0.689
-1.767;0.967;9.660;9.868;0.642
-1.820;1.006;9.729;9.949;0.639
-1.834;1.037;9.703;9.929;0.605
-1.831;1.044;9.605;9.833;0.567
-1.772;1.087;9.593;9.815;0.522
-1.757;1.137;9.569;9.795;0.486
-1.743;1.214;9.583;9.816;0.464
-1.729;1.250;9.588;9.822;0.424
-1.707;1.264;9.593;9.825;0.393
-1.657;1.250;9.583;9.805;0.389
-1.664;1.269;9.533;9.760;0.376
-1.647;1.295;9.533;9.760;0.345
-1.664;1.305;9.530;9.762;0.344
-1.626;1.367;9.583;9.816;0.352
-1.630;1.312;9.641;9.865;0.324
-1.661;1.326;9.631;9.863;0.315
-1.652;1.350;9.581;9.815;0.309
-1.640;1.384;9.528;9.767;0.298
-1.640;1.379;9.490;9.729;0.291
-1.575;1.446;9.459;9.697;0.282
-1.503;1.489;9.432;9.667;0.279
-1.501;1.446;9.564;9.788;0.309
-1.472;1.403;9.631;9.843;0.304
-1.420;1.405;9.650;9.855;0.300
-1.472;1.312;9.813;10.009;0.354
-1.415;1.276;9.894;10.076;0.360
-1.329;1.346;9.744;9.925;0.404
-1.221;1.472;9.631;9.819;0.451
-1.197;1.511;9.593;9.784;0.451
-1.125;1.614;9.528;9.729;0.470
-0.993;1.733;9.506;9.714;0.502
-0.919;1.817;9.506;9.722;0.514
-0.948;1.777;9.612;9.820;0.519
-0.934;1.772;9.540;9.748;0.518
-0.917;1.767;9.624;9.828;0.524
-0.924;1.779;9.672;9.877;0.523
-0.979;1.729;9.676;9.878;0.525
-1.118;1.659;9.602;9.808;0.551
-1.104;1.635;9.650;9.850;0.545
-1.037;1.659;9.720;9.915;0.547
-1.113;1.714;9.545;9.761;0.565
-1.010;1.779;9.629;9.844;0.578
-0.965;1.954;9.325;9.576;0.675
