x;y;z;a;index
0.266;8.512;5.063;9.907;0.767
0.230;8.428;4.974;9.789;0.777
0.805;8.548;4.447;9.669;1.104
0.661;9.192;4.584;10.292;1.286
0.208;9.098;5.084;10.425;1.455
0.007;8.591;5.094;9.987;1.545
-0.026;8.270;4.845;9.584;1.596
0.457;8.294;3.952;9.198;1.881
0.783;8.425;3.303;9.084;2.007
1.202;9.046;3.334;9.715;2.140
1.257;9.587;3.095;10.152;2.218
1.101;9.563;2.961;10.071;2.223
1.042;9.407;2.889;9.896;2.229
1.090;9.491;2.769;9.946;2.233
1.176;9.608;2.843;10.089;2.187
1.118;9.484;3.030;10.019;2.191
1.118;9.256;3.238;9.870;2.204
1.243;9.304;3.174;9.909;2.200
1.310;9.421;2.932;9.954;2.214
1.365;9.544;3.061;10.115;2.218
1.398;9.579;3.219;10.202;2.220
1.425;9.601;3.200;10.220;2.076
1.226;9.615;3.164;10.197;1.974
1.118;9.448;2.965;9.965;1.874
1.243;9.488;2.908;10.002;1.798
1.520;9.881;3.396;10.559;1.881
1.276;9.979;3.621;10.692;1.621
0.651;9.512;2.795;9.936;1.836
0.323;9.316;2.185;9.574;1.825
0.156;9.266;1.871;9.454;1.762
-0.088;9.311;1.866;9.497;1.768
-0.349;9.417;1.883;9.609;1.781
-0.299;9.431;1.838;9.613;1.776
-0.479;9.524;1.627;9.674;1.792
-0.665;9.517;1.395;9.642;1.802
-0.977;9.388;1.268;9.523;1.811
-1.094;9.304;1.328;9.462;1.812
-1.228;9.302;1.323;9.475;1.796
-1.345;9.211;1.383;9.411;1.793
-1.343;9.172;1.742;9.432;1.822
-1.381;9.129;1.979;9.443;1.838
-1.408;9.129;2.087;9.470;1.830
-1.403;9.103;2.118;9.451;1.809
-1.209;9.026;2.333;9.401;1.828
-0.955;9.125;3.037;9.664;1.855
-0.809;9.189;3.662;9.925;1.933
-0.737;9.012;3.892;9.844;1.592
-0.744;8.976;3.784;9.770;1.424
-0.627;8.940;3.973;9.803;1.397
-0.716;8.840;4.474;9.933;1.469
-0.771;8.658;4.620;9.843;1.461
-0.661;8.600;4.692;9.819;1.467
-0.467;8.708;4.811;9.960;1.459
-0.476;8.629;5.000;9.984;1.443
-0.543;8.528;5.273;10.042;1.429
-0.632;8.394;5.326;9.961;1.430
-0.613;8.375;5.269;9.913;1.426
-0.553;8.502;5.245;10.005;1.424
-0.433;8.497;4.969;9.853;1.409
-0.337;8.557;4.795;9.815;1.404
-0.081;8.739;4.823;9.982;1.434
0.060;8.849;4.704;10.022;1.450
0.022;8.830;4.641;9.976;1.421
-0.033;8.811;4.658;9.966;1.205
-0.079;8.782;4.615;9.921;1.020
-0.057;8.763;4.558;9.877;0.978
0.060;8.828;4.493;9.905;0.982
0.014;8.842;4.565;9.951;0.960
-0.024;8.804;4.574;9.921;0.810
0.012;8.794;4.512;9.884;0.777
-0.031;8.794;4.421;9.843;0.770
-0.031;8.813;4.320;9.815;0.735
0.046;8.861;4.354;9.873;0.712
0.055;8.909;4.359;9.918;0.649
0.003;8.866;4.344;9.873;0.630
-0.062;8.763;4.364;9.790;0.639
-0.187;8.820;3.559;9.513;1.027
0.014;9.007;3.248;9.575;1.066
0.175;8.964;3.636;9.675;1.127
0.070;8.837;4.488;9.912;1.387
