x;y;z;a;index
-0.007;-0.022;9.803;9.803;0.087
-0.002;-0.014;9.794;9.794;0.085
0.007;-0.012;9.808;9.808;0.086
0.017;-0.005;9.808;9.808;0.085
0.010;-0.017;9.775;9.775;0.092
0.019;-0.010;9.806;9.806;0.097
0.012;-0.007;9.789;9.789;0.099
0.012;-0.002;9.787;9.787;0.097
-0.002;0.012;9.794;9.794;0.097
-0.005;-0.026;9.803;9.803;0.102
-0.005;-0.007;9.796;9.796;0.104
0.005;-0.024;9.784;9.784;0.105
0.007;0.012;9.787;9.787;0.111
0.007;-0.024;9.801;9.801;0.115
0.000;-0.019;9.794;9.794;0.113
0.012;0.036;9.806;9.806;0.122
0.010;-0.024;9.789;9.789;0.132
-0.002;-0.012;9.835;9.835;0.139
-0.005;0.036;9.794;9.794;0.152
0.019;-0.012;9.763;9.763;0.163
-0.019;-0.010;9.825;9.825;0.178
0.012;0.007;9.770;9.770;0.189
0.003;-0.034;9.835;9.835;0.204
-0.005;-0.048;9.787;9.787;0.207
0.026;0.010;9.791;9.791;0.214
0.012;0.017;9.811;9.811;0.215
0.000;-0.034;9.782;9.782;0.223
-0.009;-0.036;9.801;9.801;0.223
0.014;0.012;9.827;9.827;0.227
0.014;-0.010;9.782;9.782;0.232
-0.002;-0.014;9.806;9.806;0.233
-0.012;0.007;9.784;9.784;0.232
-0.002;-0.022;9.808;9.808;0.232
-0.005;-0.019;9.811;9.811;0.232
0.014;0.010;9.765;9.765;0.232
0.003;0.010;9.823;9.823;0.231
0.012;-0.024;9.801;9.801;0.229
0.029;0.024;9.801;9.801;0.226
-0.002;-0.010;9.791;9.791;0.223
0.012;-0.038;9.791;9.791;0.213
-0.007;-0.024;9.796;9.796;0.204
0.012;-0.010;9.801;9.801;0.191
-0.002;-0.026;9.806;9.806;0.185
0.014;-0.005;9.796;9.796;0.176
0.022;0.010;9.808;9.808;0.175
-0.009;-0.026;9.806;9.806;0.171
0.012;-0.012;9.801;9.801;0.172
0.005;-0.000;9.801;9.801;0.162
0.000;-0.024;9.801;9.801;0.156
0.005;-0.034;9.794;9.794;0.153
0.007;-0.007;9.796;9.796;0.152
0.014;-0.026;9.787;9.787;0.149
0.012;-0.017;9.794;9.794;0.150
0.007;-0.005;9.808;9.808;0.140
0.014;-0.007;9.796;9.796;0.128
0.005;-0.017;9.796;9.796;0.122
0.017;-0.010;9.806;9.806;0.112
0.003;0.010;9.813;9.813;0.105
0.005;-0.019;9.811;9.811;0.104
0.005;-0.026;9.794;9.794;0.102
0.010;0.005;9.806;9.806;0.105
0.014;-0.017;9.803;9.803;0.105
0.007;-0.024;9.794;9.794;0.102
-0.005;-0.007;9.799;9.799;0.102
-0.002;-0.002;9.808;9.808;0.091
0.022;-0.014;9.811;9.811;0.091
