FallDetector: svm: 8,915, theta: -70,466, dsvm: 3,324, agsvm: -6,980, adgsvm: -2,603
FallDetector: svm: 10,883, theta: -44,734, dsvm: 4,875, agsvm: -5,409, adgsvm: -2,423
FallDetector: svm: 11,879, theta: -39,779, dsvm: 3,490, agsvm: -5,250, adgsvm: -1,543
FallDetector: svm: 9,998, theta: -34,607, dsvm: 3,035, agsvm: -3,844, adgsvm: -1,167
FallDetector: svm: 8,833, theta: -32,799, dsvm: 2,067, agsvm: -3,219, adgsvm: -0,753
FallDetector: svm: 21,209, theta: 76,508, dsvm: 41,948, agsvm: 18,030, adgsvm: 35,659
FallDetector: svm: 10,246, theta: -52,091, dsvm: 27,844, agsvm: -5,930, adgsvm: -16,116
FallDetector: svm: 9,801, theta: 79,262, dsvm: 8,537, agsvm: 8,632, adgsvm: 7,519
FallDetector: svm: 9,314, theta: 71,125, dsvm: 3,121, agsvm: 7,360, adgsvm: 2,467
FallDetector: svm: 8,503, theta: 59,496, dsvm: 2,838, agsvm: 5,621, adgsvm: 1,876
FallDetector: svm: 12,151, theta: 73,392, dsvm: 7,509, agsvm: 9,909, adgsvm: 6,123
FallDetector: svm: 8,590, theta: 33,647, dsvm: 7,971, agsvm: 3,211, adgsvm: 2,980
FallDetector: svm: 6,844, theta: 51,934, dsvm: 3,694, agsvm: 3,950, adgsvm: 2,131
FallDetector: svm: 11,361, theta: -65,113, dsvm: 10,416, agsvm: -8,219, adgsvm: -7,536
FallDetector: svm: 7,971, theta: 67,936, dsvm: 9,894, agsvm: 6,017, adgsvm: 7,469
FallDetector: svm: 16,030, theta: -53,770, dsvm: 13,645, agsvm: -9,577, adgsvm: -8,152
FallDetector: svm: 10,611, theta: -48,703, dsvm: 6,746, agsvm: -5,742, adgsvm: -3,651
FallDetector: svm: 14,355, theta: 76,705, dsvm: 19,373, agsvm: 12,234, adgsvm: 16,511
FallDetector: svm: 14,355, theta: 76,705, dsvm: 0,000, agsvm: 12,234, adgsvm: 0,000
FallDetector: svm: 14,355, theta: 76,705, dsvm: 0,000, agsvm: 12,234, adgsvm: 0,000
FallDetector: svm: 14,878, theta: -88,036, dsvm: 13,933, agsvm: -14,553, adgsvm: -13,628
FallDetector: svm: 4,187, theta: 21,559, dsvm: 15,170, agsvm: 1,003, adgsvm: 3,634
FallDetector: svm: 15,294, theta: -74,260, dsvm: 16,629, agsvm: -12,619, adgsvm: -13,720
FallDetector: svm: 6,791, theta: 53,209, dsvm: 13,567, agsvm: 4,015, adgsvm: 8,021
FallDetector: svm: 14,038, theta: -51,662, dsvm: 13,947, agsvm: -8,058, adgsvm: -8,006
FallDetector: svm: 11,707, theta: -61,501, dsvm: 5,045, agsvm: -8,000, adgsvm: -3,447
FallDetector: svm: 12,598, theta: 78,924, dsvm: 15,600, agsvm: 11,047, adgsvm: 13,680
FallDetector: svm: 12,398, theta: 84,296, dsvm: 15,105, agsvm: 11,612, adgsvm: 14,148
FallDetector: svm: 4,775, theta: 12,516, dsvm: 13,797, agsvm: 0,664, adgsvm: 1,919
FallDetector: svm: 39,312, theta: -81,634, dsvm: 70,561, agsvm: -35,658, adgsvm: -64,001
FallDetector: svm: 8,154, theta: 82,941, dsvm: 32,025, agsvm: 7,514, adgsvm: 29,513
FallDetector: svm: 6,061, theta: -71,463, dsvm: 13,147, agsvm: -4,813, adgsvm: -10,439
FallDetector: svm: 32,559, theta: -50,482, dsvm: 32,499, agsvm: -18,263, adgsvm: -18,229
FallDetector: svm: 7,591, theta: -76,486, dsvm: 26,592, agsvm: -6,452, adgsvm: -22,599
FallDetector: svm: 37,122, theta: -45,862, dsvm: 31,419, agsvm: -18,916, adgsvm: -16,010
FallDetector: svm: 40,173, theta: -59,718, dsvm: 45,518, agsvm: -26,656, adgsvm: -30,203
FallDetector: svm: 15,428, theta: -28,240, dsvm: 39,881, agsvm: -4,841, adgsvm: -12,514
FallDetector: svm: 11,772, theta: -68,665, dsvm: 10,436, agsvm: -8,981, adgsvm: -7,962
FallDetector: svm: 9,325, theta: -49,894, dsvm: 5,563, agsvm: -5,169, adgsvm: -3,084
FallDetector: svm: 26,081, theta: -57,998, dsvm: 19,872, agsvm: -16,807, adgsvm: -12,806
FallDetector: svm: 13,428, theta: -34,234, dsvm: 14,867, agsvm: -5,108, adgsvm: -5,655
FallDetector: svm: 40,508, theta: -14,039, dsvm: 32,819, agsvm: -6,319, adgsvm: -5,119
FallDetector: svm: 14,374, theta: -64,792, dsvm: 34,755, agsvm: -10,348, adgsvm: -25,020
FallDetector: svm: 14,045, theta: -74,527, dsvm: 17,134, agsvm: -11,630, adgsvm: -14,188
FallDetector: svm: 7,172, theta: -53,900, dsvm: 7,878, agsvm: -4,296, adgsvm: -4,718
FallDetector: svm: 20,155, theta: -53,381, dsvm: 13,247, agsvm: -11,954, adgsvm: -7,857
FallDetector: svm: 14,122, theta: -46,594, dsvm: 6,771, agsvm: -7,311, adgsvm: -3,505
FallDetector: svm: 54,382, theta: -43,728, dsvm: 47,929, agsvm: -26,422, adgsvm: -23,287
FallDetector: svm: 22,586, theta: -86,906, dsvm: 70,172, agsvm: -21,809, adgsvm: -67,760
FallDetector: svm: 16,173, theta: -87,786, dsvm: 25,863, agsvm: -15,775, adgsvm: -25,226
FallDetector: svm: 12,160, theta: 51,373, dsvm: 11,494, agsvm: 6,941, adgsvm: 6,561
FallDetector: svm: 13,190, theta: 20,178, dsvm: 7,045, agsvm: 2,957, adgsvm: 1,580
FallDetector: svm: 13,190, theta: 20,178, dsvm: 0,000, agsvm: 2,957, adgsvm: 0,000
FallDetector: svm: 9,283, theta: 71,808, dsvm: 9,250, agsvm: 7,407, adgsvm: 7,380
FallDetector: svm: 3,550, theta: 83,074, dsvm: 12,271, agsvm: 3,277, adgsvm: 11,326
FallDetector: svm: 8,617, theta: 23,245, dsvm: 9,334, agsvm: 2,225, adgsvm: 2,411
FallDetector: svm: 8,617, theta: 23,245, dsvm: 0,000, agsvm: 2,225, adgsvm: 0,000
FallDetector: svm: 8,617, theta: 23,245, dsvm: 0,000, agsvm: 2,225, adgsvm: 0,000
FallDetector: svm: 8,617, theta: 23,245, dsvm: 0,000, agsvm: 2,225, adgsvm: 0,000
FallDetector: svm: 8,617, theta: 23,245, dsvm: 0,000, agsvm: 2,225, adgsvm: 0,000
FallDetector: svm: 8,617, theta: 23,245, dsvm: 0,000, agsvm: 2,225, adgsvm: 0,000
FallDetector: svm: 8,617, theta: 23,245, dsvm: 0,000, agsvm: 2,225, adgsvm: 0,000
FallDetector: svm: 8,617, theta: 23,245, dsvm: 0,000, agsvm: 2,225, adgsvm: 0,000
FallDetector: svm: 8,617, theta: 23,245, dsvm: 0,000, agsvm: 2,225, adgsvm: 0,000
FallDetector: svm: 8,617, theta: 23,245, dsvm: 0,000, agsvm: 2,225, adgsvm: 0,000
FallDetector: svm: 8,617, theta: 23,245, dsvm: 0,000, agsvm: 2,225, adgsvm: 0,000
FallDetector: svm: 11,086, theta: 33,193, dsvm: 4,305, agsvm: 4,089, adgsvm: 1,588
FallDetector: svm: 10,247, theta: 71,320, dsvm: 7,046, agsvm: 8,120, adgsvm: 5,584
FallDetector: svm: 10,449, theta: 69,916, dsvm: 3,381, agsvm: 8,117, adgsvm: 2,627
FallDetector: svm: 10,208, theta: 51,291, dsvm: 3,504, agsvm: 5,818, adgsvm: 1,997
FallDetector: svm: 9,151, theta: 67,566, dsvm: 4,891, agsvm: 6,870, adgsvm: 3,672
FallDetector: svm: 7,006, theta: 69,625, dsvm: 7,063, agsvm: 5,420, adgsvm: 5,464
FallDetector: svm: 11,444, theta: -58,108, dsvm: 10,413, agsvm: -7,389, adgsvm: -6,723
FallDetector: svm: 11,444, theta: -58,108, dsvm: 0,000, agsvm: -7,389, adgsvm: -0,000
FallDetector: svm: 11,444, theta: -58,108, dsvm: 0,000, agsvm: -7,389, adgsvm: -0,000
FallDetector: svm: 11,444, theta: -58,108, dsvm: 0,000, agsvm: -7,389, adgsvm: -0,000
FallDetector: svm: 11,444, theta: -58,108, dsvm: 0,000, agsvm: -7,389, adgsvm: -0,000
FallDetector: svm: 33,725, theta: -82,342, dsvm: 0,000, agsvm: -30,855, adgsvm: -0,000
FallDetector: svm: 33,725, theta: -82,342, dsvm: 0,000, agsvm: -30,855, adgsvm: -0,000
FallDetector: svm: 33,725, theta: -82,342, dsvm: 0,000, agsvm: -30,855, adgsvm: -0,000
FallDetector: svm: 33,725, theta: -82,342, dsvm: 0,000, agsvm: -30,855, adgsvm: -0,000
FallDetector: svm: 33,725, theta: -82,342, dsvm: 0,000, agsvm: -30,855, adgsvm: -0,000
